name,rank1,rank2,rank3,rank4
Harry,Gryffindor,Ravenclaw,Hufflepuff,Slytherin
Hermione,Ravenclaw,Gryffindor,Hufflepuff,Slytherin
Ron,Gryffindor,Hufflepuff,Ravenclaw,Slytherin
Draco,Slytherin,Ravenclaw,Gryffindor,Hufflepuff
Luna,Ravenclaw,Hufflepuff,Gryffindor,Slytherin
Neville,Hufflepuff,Gryffindor,Ravenclaw,Slytherin
Cho,Ravenclaw,Gryffindor,Hufflepuff,Slytherin
Cedric,Hufflepuff,Ravenclaw,Gryffindor,Slytherin
Ginny,Gryffindor,Ravenclaw,Hufflepuff,Slytherin
Pansy,Slytherin,Ravenclaw,Hufflepuff,Gryffindor
